x	y	ey-	ey+
1.0	3.356881113601393e-08	1.8555021058633493e-10	1.6834668121531882e-10
2.0	3.356675906011613e-08	1.723091448177713e-10	1.6754461513307972e-10
3.0	3.3676766101521666e-08	1.6394043861389102e-10	1.6856125501186383e-10
4.0	7.712835947421136e-07	7.530591421827849e-09	7.181794848778614e-09
5.0	6.980062653754732e-05	6.540116742191111e-07	6.810657413820807e-07
6.0	0.0014772421940476832	1.4421636219523384e-05	1.4806038296074448e-05
7.0	0.18397282312851906	0.0017919981226664494	0.0017769651045438095
8.0	10.660611487242186	0.09748044287503355	0.11189464802028226
